genre,category
2-step,other
21st century classical,classic
432hz,other
48g,other
5th wave emo,other
8-bit,other
a cappella,other
aarhus indie,other
aberdeen indie,other
abstract,other
abstract beats,other
abstract hip hop,hiphop
abstract idm,other
abstractro,other
accordion,other
acid house,other
acid idm,other
acid jazz,jazz
acid rock,rock
acid techno,other
acid trance,other
acidcore,other
acousmatic,other
acoustic blues,blues
acoustic chill,other
acoustic cover,other
acoustic guitar cover,other
acoustic opm,other
acoustic pop,pop
acoustic punk,punk
acoustic rock,rock
action rock,rock
adelaide indie,other
adoracao,other
adoracion,other
adult standards,other
adventista,other
aesthetic rap,rap
afghan pop,pop
afghan rap,rap
afghan traditional,other
african electronic,electronic
african experimental,other
african gospel,other
african percussion,other
african reggae,reggae
african rock,rock
african-american classical,classic
afrikaans,other
afrikaans hip hop,hiphop
afro house,other
afro psych,other
afro r&b,other
afro soul,other
afro-cuban percussion,other
afro-cuban traditional,other
afro-funk,other
afrobeat,other
afrobeat brasileiro,other
afrobeat fusion,other
afrobeats,other
afrofuturism,other
afrofuturismo brasileiro,other
afropop,pop
afroswing,other
aggro chileno,other
aggrotech,other
agronejo,other
ai,other
alabama indie,other
alabama metal,metal
alabama rap,rap
alandsk musik,other
alaska hip hop,hiphop
alaska indie,other
albanian alternative,other
albanian folk,folk
albanian hip hop,hiphop
albanian pop,pop
albanian rock,rock
albany ny indie,other
alberta country,other
alberta hip hop,hiphop
album rock,rock
albuquerque indie,other
algerian folk,folk
algorave,other
alphorn,other
alpine yodeling,other
alt z,other
alt-idol,other
alte,other
alternative americana,other
alternative ccm,other
alternative country,other
alternative dance,other
alternative emo,other
alternative hardcore,other
alternative hip hop,hiphop
alternative metal,metal
alternative metalcore,metal
alternative pop,pop
alternative pop rock,pop
alternative r&b,other
alternative rock,rock
alternative roots rock,rock
amapiano,other
ambeat,other
ambient,other
ambient black metal,metal
ambient country,other
ambient dub techno,other
ambient folk,folk
ambient fusion,other
ambient guitar,other
ambient house,other
ambient idm,other
ambient industrial,other
ambient lo-fi,other
ambient pop,pop
ambient post-rock,rock
ambient psychill,other
ambient synth,other
ambient techno,other
ambient trance,other
ambient worship,other
american 21st century classical,classic
american choir,other
american classical piano,classic
american contemporary classical,classic
american early music,other
american folk revival,folk
american grindcore,other
american melodeath,other
american metalcore,metal
american modern classical,classic
american oi,other
american orchestra,other
american post-punk,punk
american post-rock,rock
american primitive,other
american romanticism,other
american shoegaze,other
amharic pop,pop
anadolu rock,rock
anarcho-punk,punk
ancient mediterranean,other
andalusian classical,classic
anglican liturgy,other
animal singing,other
anime,other
anime drill,other
anime game,other
anime latino,other
anime lo-fi,other
anime piano,other
anime rap,rap
anime rock,rock
anime score,other
animegrind,other
ann arbor indie,other
anthem,other
anthem emo,other
anthem worship,other
anti-folk,folk
antideutsche,other
antilliaanse folklore,folk
antilliaanse rap,rap
antiviral pop,pop
appalachian black metal,metal
appalachian folk,folk
arab alternative,other
arab electronic,electronic
arab experimental,other
arab folk,folk
arab groove,other
arab metal,metal
arab pop,pop
arab trap,trap
arabic hip hop,hiphop
arabic instrumental,other
arabic jazz,jazz
argentine alternative rock,rock
argentine ambient,other
argentine hardcore,other
argentine heavy metal,metal
argentine hip hop,hiphop
argentine indie,other
argentine indie rock,rock
argentine jazz,jazz
argentine metal,metal
argentine punk,punk
argentine reggae,reggae
argentine rock,rock
argentine telepop,pop
arizona punk,punk
arkansas country,other
arkansas hip hop,hiphop
arkansas indie,other
arkansas metal,metal
armenian folk,folk
armenian hip hop,hiphop
armenian indie,other
armenian pop,pop
arpa grande,other
arrocha,other
arrochadeira,other
ars subtilior,other
art pop,pop
art punk,punk
art rock,rock
art song,other
asakaa,other
asbury park indie,other
asheville indie,other
asian american hip hop,hiphop
assamese pop,pop
athens indie,other
atl hip hop,hiphop
atl trap,trap
atlanta bass,other
atlanta indie,other
atlanta metal,metal
atlanta punk,punk
atlantic canada hip hop,hiphop
atmospheric black metal,metal
atmospheric dnb,other
atmospheric doom,other
atmospheric post-metal,metal
atmospheric post-rock,rock
atmospheric sludge,other
auckland indie,other
audiophile vocal,other
aussie drill,other
aussie emo,other
aussietronica,other
austin americana,other
austin hip hop,hiphop
austin metal,metal
austin rock,rock
austin singer-songwriter,other
austindie,other
australian alternative pop,pop
australian alternative rock,rock
australian ambient,other
australian americana,other
australian black metal,metal
australian blues,blues
australian children_s music,other
australian choir,other
australian classical,classic
australian classical piano,classic
australian country,other
australian dance,other
australian death metal,metal
australian electropop,pop
australian experimental,other
australian garage punk,punk
australian hardcore,other
australian hip hop,hiphop
australian house,other
australian indie,other
australian indie folk,folk
australian indie rock,rock
australian indigenous hip hop,hiphop
australian indigenous music,other
australian jazz,jazz
australian metal,metal
australian metalcore,metal
australian pop,pop
australian post-hardcore,other
australian post-punk,punk
australian post-rock,rock
australian psych,other
australian r&b,other
australian reggae fusion,reggae
australian rock,rock
australian shoegaze,other
australian singer-songwriter,other
australian ska,other
australian surf rock,rock
australian talent show,other
australian techno,other
australian thrash metal,metal
australian trap,trap
australian underground hip hop,hiphop
austrian black metal,metal
austrian choir,other
austrian classical piano,classic
austrian contemporary classical,classic
austrian dnb,other
austrian hip hop,hiphop
austrian indie,other
austrian jazz,jazz
austrian metal,metal
austrian orchestra,other
austrian pop,pop
austrian punk,punk
austrian stoner rock,rock
austrian techno,other
austro-german modernism,other
austropop,pop
auteur-compositeur-interprete quebecois,other
autoharp,other
autonomous black metal,metal
avant-garde,other
avant-garde black metal,metal
avant-garde jazz,jazz
avant-garde metal,metal
avant-rock,rock
axe,other
azeri pop,pop
azeri rap,rap
azeri traditional,other
azonto,other
azontobeats,other
bachata,other
bachata dominicana,other
background jazz,jazz
background music,other
background piano,other
backing track,other
baglama,other
bagpipe,other
bagpipe marching band,other
bahai,other
bahamian folk,folk
bahamian pop,pop
baiao,other
baithak gana,other
bajan soca,other
bajki,other
bakersfield sound,other
bal-musette,other
balafon,other
balalaika,other
balearic,other
balfolk,folk
balinese traditional,other
balkan beats,other
balkan brass,other
balkan classical piano,classic
balkan folk metal,folk
balkan hip hop,hiphop
balkan post-punk,punk
balkan punk,punk
balkan trap,trap
ballet class,other
ballroom,other
baltic black metal,metal
baltic choir,other
baltic classical,classic
baltic classical piano,classic
baltic folk,folk
baltic post-punk,punk
baltimore hip hop,hiphop
baltimore indie,other
band organ,other
banda,other
banda carnavalera,other
banda jalisciense,other
banda sinaloense,other
bandolim,other
bandoneon,other
bangalore indie,other
bangladeshi hip hop,hiphop
bangladeshi indie,other
bangladeshi rock,rock
banjo,other
bansuri,other
baptist gospel,other
barbadian pop,pop
barbershop,other
barcadi,other
bard,other
barnemusikk,other
barnmusik,other
barockinterpreten,rock
baroque,other
baroque brass,other
baroque cello,other
baroque ensemble,other
baroque pop,pop
baroque singing,other
baroque violin,other
baroque woodwind,other
barrelhouse piano,other
bases de freestyle,other
basque folk,folk
bass house,other
bass music,other
bass trap,trap
bass trip,other
basshall,other
bassline,other
batak,other
bath indie,other
batida,other
batidao romantico,other
baton rouge indie,other
baton rouge rap,rap
batswana traditional,other
battle rap,rap
bay area hip hop,hiphop
bay area indie,other
bayerischer rap,rap
bboy,other
bc underground hip hop,hiphop
beach music,other
beat italiano,other
beat poetry,other
beatboxing,other
beatdown,other
beatlesque,other
beats,other
bebop,other
bedroom pop,pop
bedroom r&b,other
bedroom soul,other
belarusian electronic,electronic
belarusian hip hop,hiphop
belarusian indie,other
belarusian metal,metal
belarusian pop,pop
belarusian rock,rock
belfast indie,other
belfast metal,metal
belgian black metal,metal
belgian blues,blues
belgian classical piano,classic
belgian contemporary classical,classic
belgian dance,other
belgian death metal,metal
belgian dnb,other
belgian edm,other
belgian electronic,electronic
belgian experimental,other
belgian hardcore,other
belgian hip hop,hiphop
belgian indie,other
belgian indie rock,rock
belgian jazz,jazz
belgian metal,metal
belgian modern jazz,jazz
belgian new wave,other
belgian pop,pop
belgian post-rock,rock
belgian punk,punk
belgian rock,rock
belgian singer-songwriter,other
belgian techno,other
bells,other
belly dance,other
bemani,other
benga,other
beninese pop,pop
bergamo indie,other
bergen indie,other
berlin school,other
bern indie,other
bernu dziesmas,other
bhajan,other
bhangra,other
bhojpuri pop,pop
bhutanese pop,pop
bible,other
big band,other
big beat,other
big room,other
bikutsi,other
birmingham grime,other
birmingham hip hop,hiphop
birmingham indie,other
birmingham metal,metal
bitpop,pop
black _n_ roll,other
black americana,other
black comedy,other
black death,other
black metal,metal
black metal argentino,metal
black noise,other
black punk,punk
black sludge,other
black speed metal,metal
black thrash,other
blackened crust,other
blackened deathcore,other
blackened hardcore,other
blackened screamo,other
blackgaze,other
blaskapelle,other
bleep techno,other
bloco,other
bluegrass,other
bluegrass fiddle,other
bluegrass gospel,other
blues,blues
blues band,blues
blues latinoamericano,blues
blues mexicano,blues
blues rock,blues
blues-rock guitar,blues
bmore,other
bohemian baroque,other
bolero,other
bolero cubano,other
bolero mexicano,other
bolobedu house,other
bomba y plena,other
bongo flava,other
boogaloo,other
boogie,other
boogie-woogie,other
boom bap,other
boom bap brasileiro,other
boom bap espanol,other
bornesange,other
bosnian electronic,electronic
bosnian indie,other
bosnian pop,pop
bossa nova,other
bossa nova cover,other
bossa nova jazz,jazz
bossbeat,other
bosstown sound,other
boston electronic,electronic
boston folk,folk
boston hardcore,other
boston hip hop,hiphop
boston indie,other
boston metal,metal
boston punk,punk
boston rock,rock
bothy ballad,other
botswana hip hop,hiphop
botswana pop,pop
bounce,other
bouncy house,other
bouzouki,other
bow pop,pop
boy band,other
boy pop,pop
boy soprano,other
braindance,other
brasilia indie,other
brass band,other
brass band brasileiro,other
brass band pop,pop
brass ensemble,other
brass quintet,other
brazilian bass,other
brazilian black metal,metal
brazilian blues,blues
brazilian boogie,other
brazilian ccm,other
brazilian classical,classic
brazilian classical piano,classic
brazilian contemporary classical,classic
brazilian death metal,metal
brazilian dnb,other
brazilian doom metal,metal
brazilian edm,other
brazilian emo,other
brazilian experimental,other
brazilian gospel,other
brazilian groove metal,metal
brazilian hardcore,other
brazilian heavy metal,metal
brazilian hip hop,hiphop
brazilian house,other
brazilian indie,other
brazilian indie rock,rock
brazilian jazz,jazz
brazilian lo-fi rock,rock
brazilian metal,metal
brazilian metalcore,metal
brazilian modern jazz,jazz
brazilian percussion,other
brazilian post-hardcore,other
brazilian post-rock,rock
brazilian power metal,metal
brazilian progressive metal,metal
brazilian punk,punk
brazilian punk rock,punk
brazilian reggae,reggae
brazilian rock,rock
brazilian rockabilly,rock
brazilian ska,other
brazilian soul,other
brazilian stoner rock,rock
brazilian surf rock,rock
brazilian tech house,other
brazilian techno,other
brazilian thrash metal,metal
breakbeat,other
breakcore,other
breaks,other
brega,other
brega funk,other
brega romantico,other
brega saudade,other
breton folk,folk
brighton indie,other
brill building pop,pop
brisbane hip hop,hiphop
brisbane indie,other
brisbane punk,punk
bristol electronic,electronic
bristol indie,other
brit funk,other
britcore,other
british alternative rock,rock
british black metal,metal
british blues,blues
british brass band,other
british children_s music,other
british choir,other
british classical piano,classic
british comedy,other
british contemporary classical,classic
british country,other
british dance band,other
british death metal,metal
british electroacoustic,other
british experimental,other
british folk,folk
british grindcore,other
british indie rock,rock
british industrial,other
british invasion,other
british jazz,jazz
british math rock,rock
british modern classical,classic
british orchestra,other
british post-rock,rock
british power metal,metal
british singer-songwriter,other
british soul,other
british soundtrack,other
britpop,pop
britpop revival,pop
broadway,other
brockton hip hop,hiphop
broken beat,other
broken transmission,other
bronx drill,other
bronx hip hop,hiphop
brooklyn drill,other
brooklyn indie,other
brostep,other
brutal death metal,metal
brutal deathcore,other
bubble trance,other
bubblegrunge,other
bubblegum bass,other
bubblegum dance,other
bubblegum pop,pop
buffalo hip hop,hiphop
buffalo ny indie,other
buffalo ny metal,metal
bulgarian electronic,electronic
bulgarian experimental,other
bulgarian folk,folk
bulgarian hip hop,hiphop
bulgarian indie,other
bulgarian metal,metal
bulgarian pop,pop
bulgarian r&b,other
bulgarian rock,rock
burkinabe pop,pop
burmese pop,pop
burmese traditional,other
burundian pop,pop
burundian traditional,other
bush ballad,other
byzantine,other
c-pop,pop
c64,other
c86,other
cabaret,other
cajun,other
calgary indie,other
cali rap,rap
california hardcore,other
calming instrumental,other
calypso,other
cambodian pop,pop
cambodian rock,rock
cambodian traditional,other
cambridge choir,other
cambridgeshire indie,other
cameroonian pop,pop
campursari,other
canadian americana,other
canadian black metal,metal
canadian blues,blues
canadian ccm,other
canadian celtic,other
canadian children_s music,other
canadian choir,other
canadian classical,classic
canadian classical piano,classic
canadian comedy,other
canadian contemporary classical,classic
canadian contemporary country,other
canadian contemporary r&b,other
canadian country,other
canadian death metal,metal
canadian drill,other
canadian electronic,electronic
canadian electropop,pop
canadian experimental,other
canadian folk,folk
canadian garage rock,rock
canadian hardcore,other
canadian hip hop,hiphop
canadian house,other
canadian indie,other
canadian indie folk,folk
canadian indigenous hip hop,hiphop
canadian indigenous music,other
canadian latin,other
canadian metal,metal
canadian metalcore,metal
canadian modern jazz,jazz
canadian old school hip hop,hiphop
canadian pop,pop
canadian pop punk,pop
canadian post-hardcore,other
canadian post-punk,punk
canadian post-rock,rock
canadian psychedelic,other
canadian psychedelic rock,rock
canadian punk,punk
canadian rock,rock
canadian rockabilly,rock
canadian shoegaze,other
canadian singer-songwriter,other
canadian soundtrack,other
canadian stoner rock,rock
canadian trap,trap
canadian underground hip hop,hiphop
canberra indie,other
cancion infantil latinoamericana,other
cancion infantil mexicana,other
cancion melodica,other
candombe,other
candomble,other
candy pop,pop
cantaditas,other
cantautor,other
cantautor catala,other
cantautora argentina,other
cantautora mexicana,other
cante alentejano,other
cante flamenco,other
canterbury scene,other
canto a tenore,other
canto popular uruguayo,pop
cantonese opera,other
cantopop,pop
canzone d_autore,other
canzone napoletana,other
cape breton folk,folk
cape breton indie,other
cape town indie,other
cape verdean folk,folk
capoeira,other
caracas indie,other
cardiff indie,other
carnatic,other
carnatic instrumental,other
carnatic vocal,other
carnaval,other
carnaval cadiz,other
carnaval limburg,other
cartoni animati,other
cartoon,other
cascadia psych,other
cascadian black metal,metal
cathedral choir,other
caucasian classical,classic
caucasian classical piano,classic
caucasian folk,folk
cavernous death metal,metal
ccm,other
cdmx indie,other
cedm,other
ceilidh,other
cello,other
cello ensemble,other
celtic,other
celtic harp,other
celtic metal,metal
celtic punk,punk
celtic rock,rock
central asian folk,folk
central asian hip hop,hiphop
cha-cha-cha,other
chaabi algerien,other
chaabi marocain,other
chabad niggunim,other
chain punk,punk
chakra,other
chalga,other
chamame,other
chamame brasilero,other
chamber choir,other
chamber ensemble,other
chamber folk,folk
chamber orchestra,other
chamber pop,pop
chamber psych,other
chamorro pop,pop
channel islands indie,other
channel pop,pop
chanson,other
chanson humoristique,other
chanson paillarde,other
chanson quebecois,other
chanson virale,other
chant religieux,other
chaotic black metal,metal
chaotic hardcore,other
chapman stick,other
charanga,other
charango,other
charlotte nc indie,other
charlottesville indie,other
charred death,other
charva,other
chasidic pop,pop
chattanooga indie,other
chicago blues,blues
chicago bop,other
chicago drill,other
chicago hardcore,other
chicago house,other
chicago indie,other
chicago pop punk,pop
chicago punk,punk
chicago rap,rap
chicago soul,other
chicano punk,punk
chicano rap,rap
chicha,other
chihuahua indie,other
children_s choir,other
children_s folk,folk
children_s music,other
children_s story,other
chilean black metal,metal
chilean indie,other
chilean metal,metal
chilean rock,rock
chilena,other
chill abstract hip hop,hiphop
chill baile,other
chill breakcore,other
chill dream pop,pop
chill drill,other
chill guitar,other
chill lounge,other
chill out,other
chill phonk,other
chill pop,pop
chill r&b,other
chill-out trance,other
chillhop,other
chillstep,other
chillsynth,other
chillwave,other
chimurenga,other
chinderlieder,other
chinese audiophile,other
chinese bgm,other
chinese black metal,metal
chinese classical,classic
chinese classical performance,classic
chinese classical piano,classic
chinese drama ost,other
chinese electronic,electronic
chinese electropop,pop
chinese experimental,other
chinese folk,folk
chinese hip hop,hiphop
chinese idol pop,pop
chinese indie,other
chinese indie pop,pop
chinese indie rock,rock
chinese instrumental,other
chinese jazz,jazz
chinese melodic rap,rap
chinese metal,metal
chinese post-punk,punk
chinese post-rock,rock
chinese punk,punk
chinese r&b,other
chinese reggae,reggae
chinese singer-songwriter,other
chinese soundtrack,other
chinese traditional,other
chinese wind,other
chinese worship,other
chip hop,hiphop
chiptune,other
chopped and screwed,other
choral,other
choro,other
choro contemporaneo,other
christchurch indie,other
christelijk,other
christian a cappella,other
christian afrobeat,other
christian alternative rock,rock
christian dance,other
christian death metal,metal
christian deathcore,other
christian doom metal,metal
christian hard rock,rock
christian hardcore,other
christian hip hop,hiphop
christian indie,other
christian lo-fi,other
christian metal,metal
christian metalcore,metal
christian music,other
christian pop,pop
christian power metal,metal
christian punk,punk
christian rock,rock
christian symphonic metal,metal
christian thrash metal,metal
christian trap,trap
christian uplift,other
christlicher rap,rap
christmas instrumental,other
christmas product,other
chutney,other
cimbalom,other
cincinnati indie,other
cincinnati rap,rap
cinematic dubstep,other
cinematic post-rock,rock
circuit,other
circus,other
city pop,pop
clarinet ensemble,other
classic afrobeat,classic
classic anime,classic
classic arab pop,pop
classic australian country,classic
classic azeri pop,pop
classic bangla pop,pop
classic belgian pop,pop
classic bhangra,classic
classic bollywood,classic
classic bulgarian pop,pop
classic canadian rock,classic
classic cantopop,pop
classic city pop,pop
classic colombian pop,pop
classic country pop,pop
classic czech pop,pop
classic danish pop,pop
classic danish rock,classic
classic disco polo,classic
classic dubstep,classic
classic dutch pop,pop
classic female blues,blues
classic finnish pop,pop
classic finnish rock,classic
classic french pop,pop
classic garage rock,classic
classic girl group,classic
classic greek pop,pop
classic greek rock,classic
classic hardstyle,classic
classic house,classic
classic hungarian pop,pop
classic icelandic pop,pop
classic indo pop,pop
classic indonesian rock,classic
classic iskelma,classic
classic israeli pop,pop
classic italian pop,pop
classic j-pop,pop
classic j-rock,classic
classic japanese jazz,jazz
classic k-pop,k-pop
classic kollywood,classic
classic korean pop,pop
classic malaysian pop,pop
classic mandopop,pop
classic norwegian pop,pop
classic nz country,classic
classic nz pop,pop
classic oklahoma country,classic
classic opm,classic
classic pakistani pop,pop
classic persian pop,pop
classic peruvian pop,pop
classic polish pop,pop
classic portuguese pop,pop
classic praise,classic
classic progressive house,classic
classic psychedelic rock,classic
classic punjabi pop,pop
classic rock,classic
classic romanian pop,pop
classic russian pop,pop
classic russian rock,classic
classic schlager,classic
classic sierreno,classic
classic sinhala pop,pop
classic soul,classic
classic soundtrack,classic
classic sudanese pop,pop
classic swedish pop,pop
classic texas country,classic
classic tunisian pop,pop
classic turkish pop,pop
classic uk pop,pop
classic venezuelan pop,pop
classical,classic
classical accordion,classic
classical baritone,classic
classical bass,classic
classical bassoon,classic
classical cello,classic
classical clarinet,classic
classical contralto,classic
classical countertenor,classic
classical drill,classic
classical era,classic
classical flute,classic
classical guitar,classic
classical guitar duo,classic
classical guitar quartet,classic
